?? [s],Load (kN),
177.954786,15.54870605,155487.0605
178.204786,15.60058594,156005.8594
178.454786,15.68908691,156890.8691
178.704786,15.7989502,157989.502
178.954786,15.89050293,158905.0293
179.204786,15.93322754,159332.2754
179.454786,16.02172852,160217.2852
179.704786,16.10412598,161041.2598
179.954786,16.14990234,161499.0234
180.204786,16.22924805,162292.4805
180.454786,16.28723145,162872.3145
180.704786,16.36657715,163665.7715
180.954786,16.42456055,164245.6055
181.204786,16.51000977,165100.0977
181.454786,16.6595459,166595.459
181.704786,16.61071777,166107.1777
181.954786,16.67785645,166778.5645
182.204786,16.75415039,167541.5039
182.454786,16.80297852,168029.7852
182.704786,16.85791016,168579.1016
182.954786,16.91589355,169158.9355
183.204786,16.97692871,169769.2871
183.454786,17.00439453,170043.9453
183.704786,17.08374023,170837.4023
183.954786,17.13562012,171356.2012
184.204786,17.19665527,171966.5527
184.454786,17.22106934,172210.6934
184.704786,17.2668457,172668.457
184.954786,17.29125977,172912.5977
185.204786,17.39501953,173950.1953
185.454786,17.38891602,173889.1602
185.704786,17.45605469,174560.5469
185.954786,17.51098633,175109.8633
186.204786,17.58422852,175842.2852
186.454786,17.61474609,176147.4609
186.704786,17.66052246,176605.2246
186.954786,17.68798828,176879.8828
187.204786,17.71850586,177185.0586
187.454786,17.7947998,177947.998
187.704786,17.8314209,178314.209
187.954786,17.87719727,178771.9727
188.204786,17.89245605,178924.5605
188.454786,17.9473877,179473.877
188.704786,17.98706055,179870.6055
188.954786,18.02062988,180206.2988
189.204786,18.08166504,180816.6504
189.454786,18.17321777,181732.1777
189.704786,18.1854248,181854.248
189.954786,18.1854248,181854.248
190.204786,18.24035645,182403.5645
190.454786,18.2434082,182434.082
190.704786,18.28918457,182891.8457
190.954786,18.31970215,183197.0215
191.204786,18.36853027,183685.3027
191.454786,18.39904785,183990.4785
191.704786,18.4173584,184173.584
191.954786,18.48144531,184814.4531
192.204786,18.49365234,184936.5234
192.454786,18.5546875,185546.875
192.704786,18.59741211,185974.1211
192.954786,18.62792969,186279.2969
193.204786,18.63098145,186309.8145
193.454786,18.68591309,186859.1309
193.704786,18.73779297,187377.9297
193.954786,18.76525879,187652.5879
194.204786,18.77746582,187774.6582
194.454786,18.78967285,187896.7285
194.704786,18.81103516,188110.3516
194.954786,18.87512207,188751.2207
195.204786,18.89648438,188964.8438
195.454786,18.92089844,189208.9844
195.704786,18.93920898,189392.0898
195.954786,19.00024414,190002.4414
196.204786,19.01550293,190155.0293
196.454786,19.07653809,190765.3809
196.704786,19.10705566,191070.5566
196.954786,19.10705566,191070.5566
197.204786,19.13452148,191345.2148
197.454786,19.16809082,191680.9082
197.704786,19.18640137,191864.0137
197.954786,19.25964355,192596.4355
198.204786,19.30847168,193084.7168
198.454786,19.30236816,193023.6816
198.704786,19.37255859,193725.5859
198.954786,19.38781738,193878.1738
199.204786,19.46105957,194610.5957
199.454786,19.47021484,194702.1484
199.704786,19.50073242,195007.3242
199.954786,19.51293945,195129.3945
200.204786,19.58312988,195831.2988
200.454786,19.63500977,196350.0977
200.704786,19.68383789,196838.3789
200.954786,19.68078613,196807.8613
201.204786,19.74487305,197448.7305
201.454786,19.76623535,197662.3535
201.704786,19.79980469,197998.0469
201.954786,19.85473633,198547.3633
202.204786,19.88830566,198883.0566
202.454786,19.91882324,199188.2324
202.704786,19.98291016,199829.1016
202.954786,20.00732422,200073.2422
203.204786,20.03479004,200347.9004
203.454786,20.07141113,200714.1113
203.704786,20.10192871,201019.2871
203.954786,20.11413574,201141.3574
204.204786,20.20263672,202026.3672
204.454786,20.19348145,201934.8145
204.704786,20.21484375,202148.4375
204.954786,20.28503418,202850.3418
205.204786,20.28198242,202819.8242
205.454786,20.33081055,203308.1055
205.704786,20.37963867,203796.3867
205.954786,20.38269043,203826.9043
206.204786,20.43151855,204315.1855
